200,australian national university
800,darwin
801,darwin
804,parap
810,alawa
810,brinkin
810,casuarina
810,coconut grove
810,jingili
810,lee point
810,lyons
810,millner
810,moil
810,muirhead
810,nakara
810,nightcliff
810,rapid creek
810,tiwi
810,wagaman
810,wanguri
811,casuarina
812,anula
812,karama
812,leanyer
812,malak
812,marrara
812,wulagi
813,karama
814,nightcliff
815,charles darwin university
820,bayview
820,coonawarra
820,east point
820,eaton
820,fannie bay
820,larrakeyah
820,ludmilla
820,parap
820,stuart park
820,the gardens
820,the narrows
820,winnellie
820,woolner
821,winnellie
822,angurugu
822,daly river
822,delissaville
822,galiwinku
822,goulburn island
822,maningrida
822,milingimbi
822,minjilang
822,numbulwar
822,oenpelli
822,pularumpi
822,ramingining
822,umbakumba
822,wadeye
822,winnellie
822,wurrumiyanga
828,berrimah
829,pinelands
830,archer
830,driver
830,durack
830,farrar
830,gray
830,marlow lagoon
830,moulden
830,palmerston
830,woodroffe
830,yarrawonga
831,palmerston
832,bakewell
832,bellamack
832,gunn
832,johnston
832,mitchell
832,rosebery
834,virginia
835,howard springs
836,humpty doo
837,noonamah
838,berry springs
839,coolalinga
840,dundee beach
845,batchelor
846,adelaide river
847,pine creek
850,cossack
850,emungalan
850,katherine
850,katherine east
850,katherine south
851,katherine
852,daly waters
852,helen springs station
852,katherine
852,lajamanu
852,larrimah
852,maranboy
852,mataranka
852,ngukurr
852,victoria river downs
853,tindal
854,borroloola
860,tennant creek
861,tennant creek
862,elliott
862,newcastle waters
862,tennant creek
862,warrego
870,alice springs
870,araluen
870,arumbera
870,braitling
870,ciccone
870,connellan
870,desert springs
870,east side
870,flynn
870,gillen
870,ilparpa
870,irlpme
870,larapinta
870,mount johns
870,sadadeen
870,stuart
870,the gap
870,undoolya
870,white gums
871,alice springs
872,ali curung
872,alice springs
872,areyonga
872,barrow creek
872,ernabella
872,finke
872,haasts bluff
872,hermannsburg
872,kaltukatjara
872,kings creek station
872,kintore
872,macdonnell range
872,napperby station
872,nyapari
872,nyirripi
872,papunya
872,santa teresa
872,telegraph station
872,ti tree
872,wannan
872,yuendumu
872,yulara
873,heavitree gap cpa
880,nhulunbuy
880,yirrkala
881,nhulunbuy
885,alyangula
886,jabiru
909,charles darwin university
1215,australia square
1220,grosvenor place
1225,royal exchange
1230,queen victoria building
1235,sydney south
1240,haymarket
1300,darlinghurst
1335,potts point
1340,kings cross
1350,woollahra
1355,bondi junction
1360,double bay
1435,alexandria
1445,rosebery
1450,camperdown
1455,botany
1460,mascot
1465,kensington
1466,unsw sydney
1470,drummoyne
1475,marrickville
1480,kingsgrove
1481,hurstville bc
1485,kogarah
1490,miranda
1495,caringbah
1499,sutherland
1515,west chatswood
1560,northbridge
1565,milsons point
1570,artarmon
1585,crows nest
1590,st leonards
1595,lane cove
1630,hornsby
1635,hornsby westfield
1640,frenchs forest
1655,manly
1660,mona vale
1670,north ryde bc
1675,gladesville
1680,ryde
1685,west ryde
1700,ermington
1701,rydalmere bc
1710,epping
1715,pennant hills
1730,seven hills
1750,north parramatta
1755,baulkham hills
1765,castle hill
1790,st marys
1800,ashfield
1805,burwood
1811,silverwater
1825,lidcombe
1835,auburn
1851,wetherill park dc
1860,fairfield
1871,liverpool
1875,moorebank
1885,bankstown
1890,ingleburn
2000,barangaroo
2000,dawes point
2000,haymarket
2000,millers point
2000,sydney
2000,the rocks
2001,sydney
2002,world square
2004,eastern suburbs mc
2006,the university of sydney
2007,broadway
2007,ultimo
2008,chippendale
2008,darlington
2009,pyrmont
2010,darlinghurst
2010,surry hills
2011,elizabeth bay
2011,potts point
2011,rushcutters bay
2011,woolloomooloo
2012,strawberry hills
2015,alexandria
2015,beaconsfield
2015,eveleigh
2016,redfern
2017,waterloo
2017,zetland
2018,eastlakes
2018,rosebery
2019,banksmeadow
2019,botany
2020,mascot
2020,sydney domestic airport
2020,sydney international airport
2021,centennial park
2021,moore park
2021,paddington
2022,bondi junction
2022,queens park
2023,bellevue hill
2024,bronte
